Food Name,Calories,Carbs,Cholesterol,Fats,Fiber,Protein,Saturated Fat,Sodium,Sugar
Gelatin dessert,381.0,91.0,0.0,0.0,0.0,7.8,0.0,0.466,86.0
Mousse,225.0,16.0,0.14,16.0,0.6,4.1,9.2,0.038,15.0
Apple crisp,161.0,31.0,0.0,3.4,1.4,1.8,0.69,0.351,20.0
Flan,348.0,92.0,0.0,0.0,0.0,0.0,,0.432,
Pudding,120.0,20.0,0.009,3.2,0.8,3.2,1.8,0.098,12.0
Rice pudding,111.0,21.0,0.006,1.6,0.1,3.3,0.97,0.109,
Tapioca,105.0,20.0,0.006,1.7,0.0,2.9,0.99,0.121,
Praline,485.0,60.0,0.0,26.0,3.5,3.3,2.2,0.048,56.0
Icing,418.0,68.0,0.0,16.0,0.0,0.0,3.0,0.184,63.0
Reesesticks,521.0,55.0,0.006,31.0,3.3,9.5,13.0,0.264,40.0
Reese's fast break,474.0,62.0,0.004,23.0,2.9,8.7,8.2,0.33,53.0
Dove milk chocolate,546.0,60.0,0.018,32.0,2.4,5.9,19.0,0.063,55.0
Chocolate ice cream,216.0,28.0,0.034,11.0,1.2,3.8,6.8,0.076,25.0
Italian ice,53.0,14.0,0.0,0.02,0.0,0.03,0.0,0.004,
Ice pop,79.0,19.0,0.0,0.24,0.0,0.0,0.01,0.007,14.0
Mars,475.0,72.0,0.012,19.0,2.0,4.3,12.0,0.136,59.0
Honey,304.0,82.0,0.0,0.0,0.2,0.3,0.0,0.004,82.0
Fruit preserves,278.0,69.0,0.0,0.07,1.1,0.37,0.01,0.032,49.0
Marmalade,246.0,66.0,0.0,0.0,0.7,0.3,0.0,0.056,60.0
Molasses,290.0,75.0,0.0,0.1,0.0,0.0,0.02,0.037,75.0
Pectin,325.0,90.0,0.0,0.3,8.6,0.3,0.05,0.2,
Brown sugar,380.0,98.0,0.0,0.0,0.0,0.12,0.0,0.028,97.0
Sugar,387.0,100.0,0.0,0.0,0.0,0.0,0.0,0.001,100.0
Aspartame,365.0,89.0,0.0,0.0,0.0,2.2,0.0,0.0,81.0
Maple sugar,354.0,91.0,0.0,0.2,0.0,0.1,0.04,0.011,85.0
Corn syrup,286.0,78.0,0.0,0.0,0.0,0.0,0.0,0.155,78.0
Maple syrup,260.0,67.0,0.0,0.06,0.0,0.04,0.01,0.012,60.0
Sorghum syrup,290.0,75.0,0.0,0.0,0.0,0.0,0.0,0.008,75.0
Snickers,488.0,63.0,0.009,24.0,1.9,6.9,13.0,0.189,47.0
Skittles,402.0,91.0,0.0,4.3,0.0,0.19,4.1,0.015,76.0
Taffy (candy),397.0,92.0,0.009,3.3,0.0,0.03,2.0,0.052,68.0
Toffee,560.0,65.0,0.104,33.0,0.0,1.1,21.0,0.135,63.0
